Date, Close
2025-12-30,6896.23
2025-12-26,6929.94
2025-12-19,6834.5
2025-12-12,6827.41
2025-12-05,6870.4
2025-11-28,6849.09
2025-11-21,6602.99
2025-11-14,6734.11
2025-11-07,6728.8
2025-10-31,6840.2
2025-10-24,6791.69
2025-10-17,6664.01
2025-10-10,6552.51
2025-10-03,6715.79
2025-09-26,6643.7
2025-09-19,6664.36
2025-09-12,6584.29
2025-09-05,6481.5
2025-08-29,6460.26
2025-08-22,6466.91
2025-08-15,6449.8
2025-08-08,6389.45
2025-08-01,6238.01
2025-07-25,6388.64
2025-07-18,6296.79
2025-07-11,6259.75
2025-07-03,6279.35
2025-06-27,6173.07
2025-06-20,5967.84
2025-06-13,5976.97
2025-06-06,6000.36
2025-05-30,5911.69
2025-05-23,5802.82
2025-05-16,5958.38
2025-05-09,5659.91
2025-05-02,5686.67
2025-04-25,5525.21
2025-04-17,5282.7
2025-04-11,5363.36
2025-04-04,5074.08
2025-03-28,5580.94
2025-03-21,5667.56
2025-03-14,5638.94
2025-03-07,5770.2
2025-02-28,5954.5
2025-02-21,6013.13
2025-02-14,6114.63
2025-02-07,6025.99
2025-01-31,6040.53
2025-01-24,6101.24
