Date,Close
2025-12-30,100.09
2025-12-26,100.38
2025-12-19,100.3
2025-12-12,100.24
2025-12-05,100.18
2025-11-28,100.41
2025-11-21,100.32
2025-11-14,100.26
2025-11-07,100.19
2025-10-31,100.43
2025-10-24,100.36
2025-10-17,100.29
2025-10-10,100.21
2025-10-03,100.13
2025-09-26,100.4
2025-09-19,100.32
2025-09-12,100.25
2025-09-05,100.15
2025-08-29,100.43
2025-08-22,100.33
2025-08-15,100.26
2025-08-08,100.17
2025-08-01,100.09
2025-07-25,100.35
2025-07-18,100.27
2025-07-11,100.21
2025-07-03,100.13
2025-06-27,100.4
2025-06-20,100.29
2025-06-13,100.24
2025-06-06,100.16
2025-05-30,100.42
2025-05-23,100.33
2025-05-16,100.25
2025-05-09,100.2
2025-05-02,100.09
2025-04-25,100.38
2025-04-17,100.29
2025-04-11,100.19
2025-04-04,100.15
2025-03-28,100.4
2025-03-21,100.32
2025-03-14,100.23
2025-03-07,100.17
2025-02-28,100.43
2025-02-21,100.35
2025-02-14,100.25
2025-02-07,100.19
2025-01-31,100.45
2025-01-24,100.39
